K, WSSSE
3,9.923889744286992
4,9.52660277493454
5,9.163959511762782
6,8.993313492288648
7,8.727935189586564
8,8.59650222799442
9,8.52633841284043
10,8.24975340523364
11,7.909553100254744
12,8.20377672393464
13,8.036352210364363
14,7.977597057903536
15,7.276703444945265
16,7.64942741346875
17,7.635285852760331
18,7.826216111731217
19,7.700035005794477
20,7.471043640432162
21,6.832379617033108
22,6.980089388717419
23,7.390769803987016
24,7.451341057157757
25,7.093534278360731
26,7.41110425212612
27,7.359947259888962
28,7.035374415380845
29,6.929916247791498
30,7.130827364059752
31,4.849366207990778
32,6.989536407352441
33,6.994628203164954
34,5.5602498244815655
35,6.69490643212691
36,6.939281335580508
37,6.536187852018118
38,6.620529672021158
39,6.62133368082817
40,6.252933625734244
41,6.74573592257355
42,6.370243399499144
43,6.487419873396423
44,6.2057545153595095
