K, WSSSE
3,11.341988976667881
4,10.78169721651068
5,10.517446381079894
6,10.248275261856811
7,10.034276046522432
8,9.853847519511033
9,9.632058411709187
10,9.611375989218805
11,9.387127213837609
12,9.279316313228236
13,9.27522983819018
14,9.089765729865155
15,8.872684163797215
16,8.871366921169814
17,8.673023885784035
18,9.009134684876328
19,8.751050643822362
20,8.662553992580756
21,8.353695637480774
22,8.60123709580223
23,7.645142149094505
24,8.671513825329647
25,8.52657559025833
26,8.232367031527604
27,7.894438482327393
28,8.229910021666672
29,8.394136725982188
30,7.315096474847995
31,7.159149798503577
32,8.524086216113343
33,7.598568069316785
34,8.032040839275915
35,7.975528794947052
36,7.675274600449116
37,7.971290543662294
38,7.961600721464346
39,6.910027355143701
40,7.759174651734999
41,7.910133906337935
42,7.446655178572594
43,7.611991489670417
44,7.445364356366982
45,7.685397713928725
46,7.362957855564345
47,7.0971157929739945
48,7.489676987712388
49,7.947632202094842
50,7.519789618033928
51,6.703362150958914
52,7.600878919681197
53,7.400724054852381
54,7.661080233661441
55,7.75379067841631
56,7.081856628050079
57,7.667819552995761
58,6.789273628752224
59,7.138781405332632
60,7.201931614127006
61,7.47337194337591
62,7.108299523810761
63,6.301329323096469
64,7.531039600214935
65,7.330427389026567
66,6.969578662680359
67,6.419747757704982
68,7.3392456972688915
69,7.195183873737791
70,7.682705332167553
71,6.408537380678161
72,7.228731634290689
73,7.221244809760654
74,7.206861140777039
75,7.305265353098547
76,6.559816561348772
