K, WSSSE
3,11.339625855381687
4,10.865970893912898
5,10.575372859052644
6,10.318145064932544
7,10.029252323255884
8,9.877165269900182
9,9.82307684029644
10,9.59341725660411
11,9.50581895047266
12,9.328627247062874
13,9.254685055704844
14,9.011790980942013
15,9.202705923960604
16,9.015672312863018
17,8.893447988867521
18,8.761546592139322
19,8.880428856236412
20,8.605361658633564
21,8.525986844342825
22,8.738323269598423
23,8.521676934287996
24,8.42268563467259
25,8.37928595655207
26,8.386281852112315
27,8.304842577657036
28,7.641931247232804
29,8.244407463782894
30,8.381727683458228
31,7.96695487863009
32,8.040377944342515
33,8.300288333498552
34,7.932229095364429
35,8.239720796524898
36,8.012227954385773
37,7.755434806282538
38,7.885517445937289
39,7.711387583651725
40,7.74827064431806
41,7.99260456319585
42,7.580744962650752
43,7.757623501587565
44,8.034591949805725
45,7.49128250455226
46,7.752733606173545
47,7.754666791335901
48,7.67507084407339
49,7.64269451495117
50,7.170740477281007
51,7.7004120728666585
52,6.995887293147607
53,7.5571004610893
54,7.371361512578812
55,7.679920392265322
56,7.870385622940055
57,7.5215536468172886
58,6.646967611970774
59,6.579131178128681
60,7.0828978956869255
61,7.521640216632736
62,7.394519876047071
63,7.123380814545081
64,7.481884173892629
65,7.835303291112685
66,7.078106860422088
67,7.545176722717039
68,6.7549212631172795
69,7.391887234491466
70,5.303707017833332
71,6.596911788639172
72,7.432121679871694
73,6.738817803455171
74,7.24052591859467
75,6.130166488480567
76,6.962059201248454
