K, WSSSE
3,8.534073679288959
4,8.108002438686622
5,7.625986474082564
6,7.808179906419306
7,7.57378923271757
8,7.018256612035162
9,7.433566243149118
10,7.049371615241851
11,6.900843096792151
12,6.767284063213747
13,7.240906781396293
14,7.454771093523329
15,6.432380192084782
16,6.444275623601437
17,6.52342341097467
18,6.503353543697804
19,6.003068268948235
20,6.315429884830878
21,5.94132362741657
22,6.2725150619259695
23,4.779325190829091
24,6.197349066918075
25,6.088437635643091
26,5.758249671655304
